ID,SMILES,Monoisotopic_Mass,InChI_Key
C00001,O,18.010564684,XLYOFNOQVPJJNP-UHFFFAOYSA-N
C00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,506.9957454619998,ZKHQWZAMYRWXGA-KQYNXXCUSA-N
C00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,664.1163982560901,BAWFJGJZGIEFAR-NNYOXOHSSA-O
C00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,665.1247718680002,BOPGDPNILDQYTO-NNYOXOHSSA-N
C00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,745.0911023900003,ACFIXJIJDZMPPO-NNYOXOHSSA-N
C00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,744.0827287780902,XJLXINKUBYWONI-NNYOXOHSSA-O
C00007,O=O,31.98982924,MYMOFIZGZYHOMD-UHFFFAOYSA-N
C00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,427.02941493999987,XTWYTFMLZFPYCI-KQYNXXCUSA-N
C00009,O=P(O)(O)O,97.97689520600001,NBIIXXVUZAFLBC-UHFFFAOYSA-N
C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,767.1152089620001,RGJOEKWQDUBAIZ-IBOSZNHHSA-N
C00011,O=C=O,43.98982924,CURLTUGMZLYLDI-UHFFFAOYSA-N
C00012,*C(N)C(=O)NC(*)C(=O)O,,
C00013,O=P(O)(O)OP(=O)(O)O,177.94322572800002,XPPKVPWEQAFLFU-UHFFFAOYSA-N
C00014,N,17.026549096,QGZKDVFQNNGYKY-UHFFFAOYSA-N
C00015,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,404.0021971479999,XCCTYIAWTASOJW-XVFCMESISA-N
C00016,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,785.1571346159997,VWWQXMAJTJZDQX-UYBVJOGSSA-N
C00017,*[C@H](N)C(=O)N[C@@H](*)C(=O)O,,
C00018,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,247.02457367,NGVDGCNFYWLIFO-UHFFFAOYSA-N
C00019,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,398.137238804,MEFKEPWMEQBLKI-AIRLBKTGSA-N
C00020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,347.0630844179999,UDMBCSSLTHHNCD-KQYNXXCUSA-N
C00021,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,384.1215887399999,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
C00022,CC(=O)C(=O)O,88.016043988,LCTONWCANYUPML-UHFFFAOYSA-N
C00023,[Fe],55.9349375,XEEYBQQBJWHFJM-UHFFFAOYSA-N
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,809.1257736459999,ZSLZBFCDCINBPY-ZSJPKINUSA-N
C00025,N[C@@H](CCC(=O)O)C(=O)O,147.053157768,WHUUTDBJXJRKMK-VKHMYHEASA-N
C00026,O=C(O)CCC(=O)C(=O)O,146.021523292,KPGXRSRHYNQIFN-UHFFFAOYSA-N
C00027,OO,34.005479304,MHAJPDPJQMAIIY-UHFFFAOYSA-N
C00028,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,566.0550205679997,HSCJRCZFDFQWRP-JZMIEXBBSA-N
C00029,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,180.063388104,WQZGKKKJIJFFOK-GASJEMHNSA-N
C00030,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2,616.1772930039999,KABFMIBPWCXCRK-KOGNBAONSA-L
C00031,CC(=O)O,60.021129368000004,QTBSBXVTEAMEQO-UHFFFAOYSA-N
C00032,[Mn],54.9380451,PWHULOQIROXLJO-UHFFFAOYSA-N
C00033,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,443.0243295599999,QGWNDRXFNXRZMB-UUOKFMHZSA-N
C00034,O=C(O)CC(=O)C(=O)O,132.005873228,KHPXUQMNIQBQEV-UHFFFAOYSA-N
C00035,NCC(=O)O,75.0320284,DHMQDGOQFOQNFH-UHFFFAOYSA-N
C00036,[Zn+2],63.92804504018,PTFCDOFLOPIGGS-UHFFFAOYSA-N
C00037,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2CO)O1,,
